#             eta             phi             dep             det     value0     value1      DetId
               13              14               4              HB  0.2248756  0.8880537   4348340E
               14              14               1              HB  0.7566105  0.0614474   4318380E
               14              14               2              HB  0.2374313  0.0303468   4328380E
               14              14               3              HB  0.7174185  0.7331674   4338380E
               14              14               4              HB  0.4052966  0.4092063   4348380E
               15              14               1              HB  0.7908581  0.9052971   43183C0E
               15              14               2              HB  0.8286538  0.6767446   43283C0E
               15              14               3              HB  0.1911618  0.5125899   43383C0E
               15              14               4              HB  0.1186011  0.3653301   43483C0E
               16              14               1              HB  0.3561457  0.7481697   4318400E
               16              14               2              HB  0.6023808  0.2498702   4328400E
               16              14               3              HB  0.8862084  0.7845276   4338400E
                1              15               1              HB  0.9760545  0.6074856   4318040F
                1              15               2              HB  0.0782883  0.2144883   4328040F
                1              15               3              HB  0.8853576  0.4532878   4338040F
                1              15               4              HB  0.9611546  0.6414271   4348040F
                2              15               1              HB  0.5966003  0.0824287   4318080F
                2              15               2              HB  0.8860493  0.9324670   4328080F
                2              15               3              HB  0.6209887  0.5479954   4338080F
                2              15               4              HB  0.1167562  0.7597117   4348080F
                3              15               1              HB  0.7043989  0.0537164   43180C0F
                3              15               2              HB  0.8413554  0.1494173   43280C0F
                3              15               3              HB  0.3966279  0.2306882   43380C0F
                3              15               4              HB  0.3887836  0.4331167   43480C0F
                4              15               1              HB  0.0395143  0.1853251   4318100F
                4              15               2              HB  0.8795955  0.8237413   4328100F
                4              15               3              HB  0.7602149  0.7821310   4338100F
                4              15               4              HB  0.2528294  0.4699355   4348100F
                5              15               1              HB  0.7706062  0.3881202   4318140F
                5              15               2              HB  0.0680652  0.2879840   4328140F
                5              15               3              HB  0.2277785  0.7143647   4338140F
                5              15               4              HB  0.5038350  0.4994794   4348140F
                6              15               1              HB  0.4212524  0.6856224   4318180F
                6              15               2              HB  0.7407437  0.4613771   4328180F
                6              15               3              HB  0.5392196  0.8051748   4338180F
                6              15               4              HB  0.3803603  0.2031282   4348180F
                7              15               1              HB  0.2143533  0.6548532   43181C0F
                7              15               2              HB  0.2846178  0.2154341   43281C0F
                7              15               3              HB  0.5072656  0.3832173   43381C0F
                7              15               4              HB  0.4061056  0.7723781   43481C0F
                8              15               1              HB  0.2413396  0.8439686   4318200F
                8              15               2              HB  0.5313137  0.7395620   4328200F
                8              15               3              HB  0.1092146  0.6493397   4338200F
                8              15               4              HB  0.4138863  0.6528190   4348200F
                9              15               1              HB  0.8397478  0.5368173   4318240F
                9              15               2              HB  0.8002524  0.4792155   4328240F
                9              15               3              HB  0.6707898  0.5955054   4338240F
                9              15               4              HB  0.5378080  0.6039493   4348240F
               10              15               1              HB  0.8207784  0.3185378   4318280F
               10              15               2              HB  0.2000875  0.4675932   4328280F
               10              15               3              HB  0.5602683  0.5386548   4338280F
               10              15               4              HB  0.2962181  0.3963872   4348280F
               11              15               1              HB  0.5756855  0.8055887   43182C0F
               11              15               2              HB  0.9165667  0.4122396   43282C0F
               11              15               3              HB  0.1247576  0.6897751   43382C0F
               11              15               4              HB  0.7924994  0.2368799   43482C0F
               12              15               1              HB  0.5547137  0.7726734   4318300F
               12              15               2              HB  0.0316899  0.5731879   4328300F
               12              15               3              HB  0.8506336  0.4243358   4338300F
               12              15               4              HB  0.6335700  0.9801751   4348300F
               13              15               1              HB  0.4529409  0.1523556   4318340F
               13              15               2              HB  0.9154739  0.8881176   4328340F
               13              15               3              HB  0.6655326  0.4433736   4338340F
               13              15               4              HB  0.2343453  0.5111027   4348340F
               14              15               1              HB  0.4325193  0.8341036   4318380F
               14              15               2              HB  0.8964392  0.6505225   4328380F
               14              15               3              HB  0.7806333  0.4249642   4338380F
               14              15               4              HB  0.9687703  0.6648062   4348380F
               15              15               1              HB  0.3415094  0.6511577   43183C0F
               15              15               2              HB  0.2887681  0.0150989   43283C0F
               15              15               3              HB  0.0662642  0.2692208   43383C0F
               15              15               4              HB  0.2653744  0.3116298   43483C0F
               16              15               1              HB  0.3995641  0.3781533   4318400F
               16              15               2              HB  0.3015428  0.5191368   4328400F
               16              15               3              HB  0.5276341  0.0901576   4338400F
                1              16               1              HB  0.7312120  0.6786389   43180410
                1              16               2              HB  0.3732465  0.1025675   43280410
                1              16               3              HB  0.0606576  0.4365084   43380410
                1              16               4              HB  0.3492478  0.4536318   43480410
                2              16               1              HB  0.2137185  0.2371383   43180810
                2              16               2              HB  0.4970679  0.0722873   43280810
                2              16               3              HB  0.6197845  0.5708007   43380810
                2              16               4              HB  0.1122394  0.1083012   43480810
                3              16               1              HB  0.4810773  0.1050571   43180C10
                3              16               2              HB  0.3546223  0.0481884   43280C10
                3              16               3              HB  0.9852622  0.3952554   43380C10
                3              16               4              HB  0.3165532  0.4519348   43480C10
                4              16               1              HB  0.6565013  0.6437104   43181010
                4              16               2              HB  0.5370460  0.4245150   43281010
                4              16               3              HB  0.3956568  0.4419348   43381010
                4              16               4              HB  0.0539323  0.2690317   43481010
                5              16               1              HB  0.4483323  0.8732191   43181410
                5              16               2              HB  0.2785536  0.3994972   43281410
                5              16               3              HB  0.1897767  0.5097262   43381410
                5              16               4              HB  0.7898400  0.0669138   43481410
                6              16               1              HB  0.5180952  0.5330973   43181810
                6              16               2              HB  0.4999523  0.4743469   43281810
                6              16               3              HB  0.0164421  0.8895788   43381810
                6              16               4              HB  0.8251041  0.0768848   43481810
                7              16               1              HB  0.4217262  0.3765981   43181C10
                7              16               2              HB  0.1611006  0.6226720   43281C10
                7              16               3              HB  0.0815555  0.3841427   43381C10
                7              16               4              HB  0.8467194  0.0664189   43481C10
                8              16               1              HB  0.2580443  0.4276702   43182010
                8              16               2              HB  0.3025501  0.5991257   43282010
                8              16               3              HB  0.4180163  0.6389750   43382010
                8              16               4              HB  0.2690897  0.4509177   43482010
                9              16               1              HB  0.7584917  0.5827779   43182410
                9              16               2              HB  0.0114884  0.0244186   43282410
                9              16               3              HB  0.6257216  0.8355373   43382410
                9              16               4              HB  0.6070010  0.9096830   43482410
               10              16               1              HB  0.7696879  0.0821733   43182810
               10              16               2              HB  0.7611150  0.4062060   43282810
               10              16               3              HB  0.0502397  0.0372983   43382810
               10              16               4              HB  0.5945830  0.7121520   43482810
               11              16               1              HB  0.0928082  0.2907250   43182C10
               11              16               2              HB  0.9090367  0.8715169   43282C10
               11              16               3              HB  0.7605072  0.3415477   43382C10
               11              16               4              HB  0.7842144  0.6865618   43482C10
               12              16               1              HB  0.6016613  0.8259909   43183010
               12              16               2              HB  0.5585024  0.2859015   43283010
               12              16               3              HB  0.5345497  0.6757762   43383010
               12              16               4              HB  0.6868588  0.5393881   43483010
               13              16               1              HB  0.9215906  0.4108443   43183410
               13              16               2              HB  0.6029861  0.7396612   43283410
               13              16               3              HB  0.0633096  0.3774272   43383410
               13              16               4              HB  0.5083515  0.1531860   43483410
               14              16               1              HB  0.7160375  0.2987772   43183810
               14              16               2              HB  0.8053346  0.3437355   43283810
               14              16               3              HB  0.5824526  0.7762888   43383810
               14              16               4              HB  0.7867002  0.6114284   43483810
               15              16               1              HB  0.5616984  0.5747022   43183C10
               15              16               2              HB  0.1834514  0.0669056   43283C10
               15              16               3              HB  0.7075590  0.8641010   43383C10
               15              16               4              HB  0.8917513  0.8184752   43483C10
               16              16               1              HB  0.4191244  0.6816255   43184010
               16              16               2              HB  0.6599282  0.5040762   43284010
               16              16               3              HB  0.6902264  0.0533620   43384010
                1              17               1              HB  0.5913473  0.9494159   43180411
                1              17               2              HB  0.2921224  0.4091909   43280411
                1              17               3              HB  0.6667697  0.6674361   43380411
                1              17               4              HB  0.2523413  0.1896908   43480411
                2              17               1              HB  0.4476883  0.1040632   43180811
                2              17               2              HB  0.4375123  0.8913457   43280811
                2              17               3              HB  0.1626467  0.6399806   43380811
                2              17               4              HB  0.2266898  0.8931335   43480811
                3              17               1              HB  0.0140672  0.8205960   43180C11
                3              17               2              HB  0.9592116  0.2921109   43280C11
                3              17               3              HB  0.9141071  0.1417845   43380C11
                3              17               4              HB  0.9891856  0.6741800   43480C11
                4              17               1              HB  0.1124648  0.4364274   43181011
                4              17               2              HB  0.7839997  0.8423915   43281011
                4              17               3              HB  0.2927341  0.2607495   43381011
                4              17               4              HB  0.4789164  0.9065061   43481011
                5              17               1              HB  0.1849912  0.2710057   43181411
                5              17               2              HB  0.3149412  0.9370498   43281411
                5              17               3              HB  0.7925899  0.6339983   43381411
                5              17               4              HB  0.9033516  0.9643961   43481411
                6              17               1              HB  0.1413292  0.3975310   43181811
                6              17               2              HB  0.2438861  0.6635383   43281811
                6              17               3              HB  0.9513951  0.1584793   43381811
                6              17               4              HB  0.0816976  0.5162960   43481811
                7              17               1              HB  0.0639139  0.2268597   43181C11
                7              17               2              HB  0.8103965  0.8933023   43281C11
                7              17               3              HB  0.0639200  0.2668067   43381C11
                7              17               4              HB  0.6557677  0.8439891   43481C11
                8              17               1              HB  0.1346841  0.2968871   43182011
                8              17               2              HB  0.6152610  0.7617252   43282011
                8              17               3              HB  0.2349016  0.0191935   43382011
                8              17               4              HB  0.5494086  0.2455966   43482011
                9              17               1              HB  0.1505857  0.3105190   43182411
                9              17               2              HB  0.7818241  0.4964193   43282411
                9              17               3              HB  0.9046437  0.9931119   43382411
                9              17               4              HB  0.7977457  0.5207992   43482411
               10              17               1              HB  0.7077771  0.4828070   43182811
               10              17               2              HB  0.3608385  0.4955295   43282811
               10              17               3              HB  0.6243864  0.5919098   43382811
               10              17               4              HB  0.9623483  0.4744394   43482811
               11              17               1              HB  0.2751076  0.7933022   43182C11
               11              17               2              HB  0.2713649  0.2965199   43282C11
               11              17               3              HB  0.3995783  0.8705857   43382C11
               11              17               4              HB  0.8523477  0.5392888   43482C11
               12              17               1              HB  0.3042832  0.5471055   43183011
               12              17               2              HB  0.0942442  0.4810949   43283011
               12              17               3              HB  0.6060864  0.0897964   43383011
               12              17               4              HB  0.7402662  0.3682746   43483011
               13              17               1              HB  0.6199866  0.9774223   43183411
               13              17               2              HB  0.4721864  0.2971452   43283411
               13              17               3              HB  0.4206336  0.3521440   43383411
               13              17               4              HB  0.5487779  0.3251410   43483411
               14              17               1              HB  0.2311230  0.2687833   43183811
               14              17               2              HB  0.0681118  0.6601317   43283811
               14              17               3              HB  0.8401867  0.8950945   43383811
               14              17               4              HB  0.9981220  0.3917371   43483811
               15              17               1              HB  0.5671480  0.2851015   43183C11
               15              17               2              HB  0.4797606  0.0572122   43283C11
               15              17               3              HB  0.6696653  0.6024571   43383C11
               15              17               4              HB  0.2180009  0.7872038   43483C11
               16              17               1              HB  0.6501944  0.4412882   43184011
               16              17               2              HB  0.5959670  0.4751233   43284011
               16              17               3              HB  0.3732687  0.8056410   43384011
                1              18               1              HB  0.8003997  0.1987587   43180412
                1              18               2              HB  0.4710643  0.0390075   43280412
                1              18               3              HB  0.5743758  0.3040890   43380412
                1              18               4              HB  0.1139637  0.3139521   43480412
                2              18               1              HB  0.8805351  0.6080186   43180812
                2              18               2              HB  0.6635175  0.9367580   43280812
                2              18               3              HB  0.6783787  0.1238760   43380812
                2              18               4              HB  0.6964325  0.1249939   43480812
                3              18               1              HB  0.6618790  0.8070846   43180C12
                3              18               2              HB  0.0892445  0.3864112   43280C12
                3              18               3              HB  0.1262047  0.9770453   43380C12
                3              18               4              HB  0.9414340  0.1645336   43480C12
                4              18               1              HB  0.8024199  0.5670324   43181012
                4              18               2              HB  0.8543497  0.3245512   43281012
                4              18               3              HB  0.1373586  0.4485884   43381012
                4              18               4              HB  0.8891039  0.6278304   43481012
                5              18               1              HB  0.5109591  0.0577892   43181412
                5              18               2              HB  0.9601743  0.5157207   43281412
                5              18               3              HB  0.8240011  0.0278292   43381412
                5              18               4              HB  0.4077966  0.9605380   43481412
                6              18               1              HB  0.2603015  0.1946641   43181812
                6              18               2              HB  0.6357604  0.9512960   43281812
                6              18               3              HB  0.3684086  0.0977131   43381812
                6              18               4              HB  0.0593080  0.2610928   43481812
                7              18               1              HB  0.6964776  0.2555103   43181C12
                7              18               2              HB  0.8153679  0.1086003   43281C12
                7              18               3              HB  0.9397989  0.8554287   43381C12
                7              18               4              HB  0.3963335  0.8933857   43481C12
                8              18               1              HB  0.6777548  0.2203933   43182012
                8              18               2              HB  0.2665206  0.0956185   43282012
                8              18               3              HB  0.3973440  0.1185693   43382012
                8              18               4              HB  0.9376742  0.5420586   43482012
                9              18               1              HB  0.8169299  0.3315765   43182412
                9              18               2              HB  0.0540447  0.8358109   43282412
                9              18               3              HB  0.6871625  0.3346323   43382412
                9              18               4              HB  0.4118565  0.5250561   43482412
               10              18               1              HB  0.1417409  0.0281968   43182812
               10              18               2              HB  0.2382764  0.2444963   43282812
               10              18               3              HB  0.6596556  0.7895961   43382812
               10              18               4              HB  0.2942664  0.3839836   43482812
               11              18               1              HB  0.1950419  0.9592400   43182C12
               11              18               2              HB  0.7142837  0.0166494   43282C12
               11              18               3              HB  0.0976958  0.6794462   43382C12
               11              18               4              HB  0.2952949  0.2373666   43482C12
               12              18               1              HB  0.2012030  0.6267001   43183012
               12              18               2              HB  0.9731963  0.5790638   43283012
               12              18               3              HB  0.2783489  0.1916491   43383012
               12              18               4              HB  0.3685688  0.3973077   43483012
               13              18               1              HB  0.9101255  0.4482027   43183412
               13              18               2              HB  0.8065652  0.0002310   43283412
               13              18               3              HB  0.1305285  0.8897377   43383412
               13              18               4              HB  0.0163397  0.4700766   43483412
               14              18               1              HB  0.6571013  0.7500193   43183812
               14              18               2              HB  0.3174959  0.0724560   43283812
               14              18               3              HB  0.9004389  0.2855592   43383812
               14              18               4              HB  0.4983346  0.1525700   43483812
               15              18               1              HB  0.9392435  0.5982396   43183C12
               15              18               2              HB  0.4915451  0.6122102   43283C12
               15              18               3              HB  0.9245434  0.6207151   43383C12
               15              18               4              HB  0.0602399  0.0546534   43483C12
               16              18               1              HB  0.6636400  0.9130455   43184012
               16              18               2              HB  0.7548686  0.7729837   43284012
               16              18               3              HB  0.1886213  0.7604759   43384012
                1              19               1              HB  0.2446569  0.2232938   43180413
                1              19               2              HB  0.3085430  0.4091284   43280413
                1              19               3              HB  0.0254733  0.3279603   43380413
                1              19               4              HB  0.1081152  0.4247354   43480413
                2              19               1              HB  0.5455790  0.2055423   43180813
                2              19               2              HB  0.6076842  0.0008348   43280813
                2              19               3              HB  0.3286483  0.3256046   43380813
                2              19               4              HB  0.5897847  0.1690724   43480813
                3              19               1              HB  0.5087212  0.8246098   43180C13
                3              19               2              HB  0.0966445  0.9723690   43280C13
                3              19               3              HB  0.4100847  0.6670700   43380C13
                3              19               4              HB  0.7366198  0.0085126   43480C13
                4              19               1              HB  0.1011092  0.9082416   43181013
                4              19               2              HB  0.4560663  0.6401960   43281013
                4              19               3              HB  0.8372423  0.4040510   43381013
                4              19               4              HB  0.6059642  0.1655871   43481013
                5              19               1              HB  0.9248824  0.9949227   43181413
                5              19               2              HB  0.3349938  0.4604447   43281413
                5              19               3              HB  0.1592558  0.2141832   43381413
                5              19               4              HB  0.3244534  0.4469865   43481413
                6              19               1              HB  0.8373693  0.4309273   43181813
                6              19               2              HB  0.4677432  0.1966183   43281813
                6              19               3              HB  0.2122706  0.1648262   43381813
                6              19               4              HB  0.0348247  0.8712554   43481813
                7              19               1              HB  0.2708859  0.6581668   43181C13
                7              19               2              HB  0.8560951  0.3297345   43281C13
                7              19               3              HB  0.1120822  0.4556119   43381C13
                7              19               4              HB  0.4622186  0.3401219   43481C13
                8              19               1              HB  0.6310581  0.6420568   43182013
                8              19               2              HB  0.9719110  0.9813157   43282013
                8              19               3              HB  0.2874734  0.5181164   43382013
                8              19               4              HB  0.5198215  0.4853201   43482013
                9              19               1              HB  0.3428670  0.8842593   43182413
                9              19               2              HB  0.6440642  0.4086192   43282413
                9              19               3              HB  0.4981478  0.1322241   43382413
                9              19               4              HB  0.8433623  0.4802153   43482413
               10              19               1              HB  0.9413506  0.9755790   43182813
               10              19               2              HB  0.2061942  0.6376134   43282813
               10              19               3              HB  0.7600566  0.8858925   43382813
               10              19               4              HB  0.4877855  0.7880503   43482813
               11              19               1              HB  0.5506788  0.4818332   43182C13
               11              19               2              HB  0.4286716  0.2600080   43282C13
               11              19               3              HB  0.2297379  0.2534193   43382C13
               11              19               4              HB  0.7095261  0.4911658   43482C13
               12              19               1              HB  0.3903691  0.8316790   43183013
               12              19               2              HB  0.0648146  0.8071493   43283013
               12              19               3              HB  0.0101345  0.0711717   43383013
               12              19               4              HB  0.7151406  0.3694208   43483013
               13              19               1              HB  0.9343889  0.5687239   43183413
               13              19               2              HB  0.9219188  0.6017424   43283413
               13              19               3              HB  0.3006902  0.2996749   43383413
               13              19               4              HB  0.5318569  0.4634714   43483413
               14              19               1              HB  0.9514747  0.1215127   43183813
               14              19               2              HB  0.7452105  0.4795669   43283813
               14              19               3              HB  0.4092346  0.8185388   43383813
               14              19               4              HB  0.1416030  0.1266894   43483813
               15              19               1              HB  0.0700650  0.7508300   43183C13
               15              19               2              HB  0.8042241  0.2537713   43283C13
               15              19               3              HB  0.8677236  0.9774332   43383C13
               15              19               4              HB  0.5069821  0.6965067   43483C13
               16              19               1              HB  0.5937487  0.2485796   43184013
               16              19               2              HB  0.9150778  0.7770115   43284013
               16              19               3              HB  0.8773865  0.5981559   43384013
                1              20               1              HB  0.3256761  0.8019229   43180414
                1              20               2              HB  0.7261893  0.8940771   43280414
                1              20               3              HB  0.5656115  0.2117057   43380414
                1              20               4              HB  0.6417291  0.6232624   43480414
                2              20               1              HB  0.6105676  0.7537124   43180814
                2              20               2              HB  0.5154418  0.4502541   43280814
                2              20               3              HB  0.7920521  0.6364183   43380814
                2              20               4              HB  0.0014886  0.4339349   43480814
                3              20               1              HB  0.5047960  0.0135828   43180C14
                3              20               2              HB  0.6464214  0.8062304   43280C14
                3              20               3              HB  0.5345328  0.0851256   43380C14
                3              20               4              HB  0.1135689  0.2216113   43480C14
                4              20               1              HB  0.7733397  0.4430271   43181014
                4              20               2              HB  0.0756733  0.7142178   43281014
                4              20               3              HB  0.0300793  0.9432796   43381014
                4              20               4              HB  0.0096610  0.3537171   43481014
                5              20               1              HB  0.9995561  0.4823604   43181414
                5              20               2              HB  0.3213562  0.3618478   43281414
                5              20               3              HB  0.0289225  0.8386884   43381414
                5              20               4              HB  0.4190492  0.8566433   43481414
                6              20               1              HB  0.0638955  0.1830568   43181814
                6              20               2              HB  0.6951436  0.9249592   43281814
                6              20               3              HB  0.6702791  0.4349434   43381814
                6              20               4              HB  0.6828595  0.7898252   43481814
                7              20               1              HB  0.3246040  0.6160797   43181C14
                7              20               2              HB  0.4837836  0.4633361   43281C14
                7              20               3              HB  0.9164899  0.1483853   43381C14
                7              20               4              HB  0.0409788  0.1377674   43481C14
                8              20               1              HB  0.9793404  0.7725539   43182014
                8              20               2              HB  0.3648912  0.5947409   43282014
                8              20               3              HB  0.6231748  0.1422012   43382014
                8              20               4              HB  0.0387033  0.7687415   43482014
                9              20               1              HB  0.9871824  0.1175207   43182414
                9              20               2              HB  0.9133148  0.0631698   43282414
                9              20               3              HB  0.8314717  0.1175313   43382414
                9              20               4              HB  0.1029155  0.0365754   43482414
               10              20               1              HB  0.0840345  0.3631134   43182814
               10              20               2              HB  0.3202675  0.2857187   43282814
               10              20               3              HB  0.2778668  0.1920298   43382814
               10              20               4              HB  0.3586109  0.2514545   43482814
               11              20               1              HB  0.7590596  0.6453474   43182C14
               11              20               2              HB  0.2576430  0.6763622   43282C14
               11              20               3              HB  0.6153144  0.5102268   43382C14
               11              20               4              HB  0.9055970  0.3464228   43482C14
               12              20               1              HB  0.1502464  0.1197479   43183014
               12              20               2              HB  0.1995918  0.4703811   43283014
               12              20               3              HB  0.4057285  0.5692498   43383014
               12              20               4              HB  0.7549264  0.7507675   43483014
               13              20               1              HB  0.0896490  0.4146940   43183414
               13              20               2              HB  0.3798491  0.3548116   43283414
               13              20               3              HB  0.3248343  0.3088570   43383414
               13              20               4              HB  0.6086531  0.8146856   43483414
               14              20               1              HB  0.9771970  0.0529643   43183814
               14              20               2              HB  0.2076290  0.1005333   43283814
               14              20               3              HB  0.9695348  0.1722700   43383814
               14              20               4              HB  0.0835894  0.7324809   43483814
               15              20               1              HB  0.5027496  0.6188090   43183C14
               15              20               2              HB  0.5962030  0.9643962   43283C14
               15              20               3              HB  0.9616503  0.4013257   43383C14
               15              20               4              HB  0.2951530  0.1193135   43483C14
               16              20               1              HB  0.7154537  0.9135931   43184014
               16              20               2              HB  0.5579140  0.6021613   43284014
               16              20               3              HB  0.0531915  0.8039157   43384014
                1              21               1              HB  0.3942948  0.0198836   43180415
                1              21               2              HB  0.6133389  0.7546424   43280415
                1              21               3              HB  0.7080178  0.6545812   43380415
                1              21               4              HB  0.8405033  0.4539313   43480415
                2              21               1              HB  0.6327537  0.2162790   43180815
                2              21               2              HB  0.8043036  0.7824682   43280815
                2              21               3              HB  0.1148406  0.9630294   43380815
                2              21               4              HB  0.2238147  0.7327864   43480815
                3              21               1              HB  0.9622717  0.0029113   43180C15
                3              21               2              HB  0.2723398  0.0343924   43280C15
                3              21               3              HB  0.6100715  0.3840823   43380C15
                3              21               4              HB  0.4471948  0.9486049   43480C15
                4              21               1              HB  0.3794036  0.4469031   43181015
                4              21               2              HB  0.9811543  0.0149885   43281015
                4              21               3              HB  0.0639291  0.8497747   43381015
                4              21               4              HB  0.6471508  0.7893172   43481015
                5              21               1              HB  0.6262992  0.8800536   43181415
                5              21               2              HB  0.2895097  0.2253855   43281415
                5              21               3              HB  0.0294743  0.5110850   43381415
                5              21               4              HB  0.1118863  0.9381309   43481415
                6              21               1              HB  0.9380127  0.6850455   43181815
                6              21               2              HB  0.5015340  0.3839738   43281815
                6              21               3              HB  0.9419578  0.4443846   43381815
                6              21               4              HB  0.0657464  0.5965739   43481815
                7              21               1              HB  0.1446429  0.6794506   43181C15
                7              21               2              HB  0.4165806  0.1597979   43281C15
                7              21               3              HB  0.6972179  0.5965182   43381C15
                7              21               4              HB  0.4220943  0.1457815   43481C15
                8              21               1              HB  0.7535990  0.5516285   43182015
                8              21               2              HB  0.8663824  0.5581686   43282015
                8              21               3              HB  0.8276060  0.5109515   43382015
                8              21               4              HB  0.2092172  0.3984123   43482015
                9              21               1              HB  0.0964915  0.6109645   43182415
                9              21               2              HB  0.9736289  0.9833681   43282415
                9              21               3              HB  0.2815429  0.3753636   43382415
                9              21               4              HB  0.3876347  0.3820198   43482415
               10              21               1              HB  0.9163733  0.4345406   43182815
               10              21               2              HB  0.5508450  0.9758651   43282815
               10              21               3              HB  0.5653279  0.8266331   43382815
               10              21               4              HB  0.9435009  0.7563629   43482815
               11              21               1              HB  0.4228136  0.8255463   43182C15
               11              21               2              HB  0.5615913  0.0151474   43282C15
               11              21               3              HB  0.6004670  0.4095244   43382C15
               11              21               4              HB  0.7480759  0.8353154   43482C15
               12              21               1              HB  0.0279894  0.3463537   43183015
               12              21               2              HB  0.7714958  0.0474575   43283015
               12              21               3              HB  0.5258586  0.2700129   43383015
               12              21               4              HB  0.2749292  0.8873444   43483015
               13              21               1              HB  0.4636404  0.2255313   43183415
               13              21               2              HB  0.7437594  0.0394714   43283415
               13              21               3              HB  0.0526826  0.5443280   43383415
               13              21               4              HB  0.4483966  0.3630706   43483415
               14              21               1              HB  0.0146789  0.9881138   43183815
               14              21               2              HB  0.7268912  0.7125230   43283815
               14              21               3              HB  0.2853955  0.0094842   43383815
               14              21               4              HB  0.4679509  0.3638726   43483815
               15              21               1              HB  0.0998522  0.4576426   43183C15
               15              21               2              HB  0.7329874  0.9219362   43283C15
               15              21               3              HB  0.7687658  0.0489824   43383C15
               15              21               4              HB  0.7172966  0.0927710   43483C15
               16              21               1              HB  0.3338865  0.1669122   43184015
               16              21               2              HB  0.2821350  0.3185212   43284015
               16              21               3              HB  0.9843128  0.4976512   43384015
                1              22               1              HB  0.3764588  0.9691854   43180416
                1              22               2              HB  0.1874580  0.4909664   43280416
